,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free SO2,Total SO2,pH,Alcohol,Quality Grade
0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,B
1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
2,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
5,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
7,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,B
8,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
9,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
10,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,B
11,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
12,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
13,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,B
14,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
15,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
16,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,B
17,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
18,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
19,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
20,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
21,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
22,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
23,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
24,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
25,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
26,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
27,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,B
28,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
29,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,B
30,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
31,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
32,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
33,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
34,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,B
35,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,B
36,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
37,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
38,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
39,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
40,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
41,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
42,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
43,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,B
44,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,B
45,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,B
46,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
47,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
48,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
49,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
50,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,B
51,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
52,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
53,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
54,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
55,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
56,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,B
57,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
58,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,B
59,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
60,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
61,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
62,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
63,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,B
64,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,B
65,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,B
66,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,B
67,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
68,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
69,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
70,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
71,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,B
72,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B
73,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
74,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
75,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,B
76,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,B
77,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,B
